movie_id,title,genre,director,cast,description,keywords
1,The Shawshank Redemption,Drama,Frank Darabont,"Tim Robbins, Morgan Freeman",Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency.,prison hope friendship escape wrongful conviction redemption
2,The Godfather,Crime Drama,Francis Ford Coppola,"Marlon Brando, Al Pacino",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,mafia crime family organized crime power loyalty italian american
3,The Dark Knight,Action Crime Drama,Christopher Nolan,"Christian Bale, Heath Ledger",When the menace known as the Joker wreaks havoc and chaos on Gotham City Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.,batman joker superhero gotham dc comics vigilantism chaos
4,Pulp Fiction,Crime Drama,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson",The lives of two mob hitmen a boxer a gangster and his wife intertwine in four tales of violence and redemption.,hitman non linear narrative gangster drugs crime dark humor
5,Inception,Action Sci-Fi Thriller,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,dream heist subconscious reality mind bending corporate espionage
6,Interstellar,Adventure Drama Sci-Fi,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival as Earth faces famine.,space exploration wormhole relativity black hole time dilation survival
7,Fight Club,Drama,David Fincher,"Brad Pitt, Edward Norton",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,alter ego insomnia consumerism rebellion anarchy underground club
8,Forrest Gump,Drama Romance,Robert Zemeckis,"Tom Hanks, Robin Wright",The history of the United States from the 1950s to the 70s unfolds from the perspective of an Alabama man with an IQ of 75 yearning to be reunited with his childhood sweetheart.,destiny love innocence history vietnam war running optimism
9,The Matrix,Action Sci-Fi,Lana Wachowski,"Keanu Reeves, Laurence Fishburne",When a beautiful stranger leads computer hacker Neo to a forbidding underworld he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.,simulated reality cyberpunk hacker martial arts artificial intelligence rebellion
10,Goodfellas,Biography Crime Drama,Martin Scorsese,"Robert De Niro, Ray Liotta",The story of Henry Hill and his life in the mafia covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.,mob mafia organized crime true crime heist rise and fall
11,The Lord of the Rings: The Fellowship of the Ring,Action Adventure Fantasy,Peter Jackson,"Elijah Wood, Ian McKellen",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,magic ring hobbit middle earth quest friendship fantasy
12,The Lord of the Rings: The Return of the King,Action Adventure Fantasy,Peter Jackson,"Elijah Wood, Viggo Mortensen",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,epic battle fantasy middle earth king courage journey ring
13,Star Wars: Episode V - The Empire Strikes Back,Action Adventure Fantasy Sci-Fi,Irvin Kershner,"Mark Hamill, Harrison Ford",After the Rebels are brutally overpowered by the Empire on the ice planet Hoth Luke Skywalker begins Jedi training with Yoda while his friends are pursued across the galaxy by Darth Vader.,jedi galactic empire darth vader space opera the force lightsaber
14,Gladiator,Action Adventure Drama,Ridley Scott,"Russell Crowe, Joaquin Phoenix",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,roman empire gladiator revenge honor arena emperor ancient rome
15,The Prestige,Drama Mystery Sci-Fi,Christopher Nolan,"Christian Bale, Hugh Jackman",After a tragic accident two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.,magic illusion obsession rivalry 19th century sacrifice mystery
16,The Departed,Crime Drama Thriller,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,undercover mole irish mob police deception infiltration boston
17,Whiplash,Drama Music,Damien Chazelle,"Miles Teller, J.K. Simmons",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,drummer jazz obsession mentor perfectionism ambition music school
18,The Social Network,Biography Drama,David Fincher,"Jesse Eisenberg, Andrew Garfield",As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out.,facebook internet startup friendship betrayal entrepreneurship technology
19,Avengers: Endgame,Action Adventure Sci-Fi,Anthony Russo,"Robert Downey Jr., Chris Evans",After the devastating events of Infinity War the universe is in ruins. With the help of remaining allies the Avengers assemble once more to reverse Thanos' actions and restore balance.,superhero avengers marvel time travel sacrifice thanos epic battle
20,Spider-Man: Into the Spider-Verse,Animation Action Adventure,Bob Persichetti,"Shameik Moore, Jake Johnson",Teen Miles Morales becomes the new Spider-Man and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,spider man multiverse animation superhero coming of age parallel dimensions
21,Parasite,Drama Thriller,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,class struggle dark comedy deceit thriller social inequality parasite
